,home_team,home_goals,away_team,away_goals,date2,team,week,points
0,Newcastle,0,Arsenal,0,2011-08-13,Arsenal,1,1
1,Arsenal,0,Liverpool,2,2011-08-20,Arsenal,2,1
2,Man Utd,8,Arsenal,2,2011-08-28,Arsenal,3,1
3,Arsenal,1,Swansea,0,2011-09-10,Arsenal,4,4
4,Blackburn,4,Arsenal,3,2011-09-17,Arsenal,5,4
5,Arsenal,3,Bolton,0,2011-09-24,Arsenal,6,7
6,Spurs,2,Arsenal,1,2011-10-02,Arsenal,7,7
7,Arsenal,2,Sunderland,1,2011-10-16,Arsenal,8,10
8,Arsenal,3,Stoke,1,2011-10-23,Arsenal,9,13
9,Chelsea,3,Arsenal,5,2011-10-29,Arsenal,10,16
10,Arsenal,3,West Brom,0,2011-11-05,Arsenal,11,19
11,Norwich,1,Arsenal,2,2011-11-19,Arsenal,12,22
12,Arsenal,1,Fulham,1,2011-11-26,Arsenal,13,23
13,Wigan,0,Arsenal,4,2011-12-03,Arsenal,14,26
14,Arsenal,1,Everton,0,2011-12-10,Arsenal,15,29
15,Man City,1,Arsenal,0,2011-12-18,Arsenal,16,29
16,Aston Villa,1,Arsenal,2,2011-12-21,Arsenal,17,32
17,Arsenal,1,Wolves,1,2011-12-27,Arsenal,18,33
18,Arsenal,1,QPR,0,2011-12-31,Arsenal,19,36
19,Fulham,2,Arsenal,1,2012-01-02,Arsenal,20,36
20,Swansea,3,Arsenal,2,2012-01-15,Arsenal,21,36
21,Arsenal,1,Man Utd,2,2012-01-22,Arsenal,22,36
22,Bolton,0,Arsenal,0,2012-02-01,Arsenal,23,37
23,Arsenal,7,Blackburn,1,2012-02-04,Arsenal,24,40
24,Sunderland,1,Arsenal,2,2012-02-11,Arsenal,25,43
25,Arsenal,5,Spurs,2,2012-02-26,Arsenal,26,46
26,Liverpool,1,Arsenal,2,2012-03-03,Arsenal,27,49
27,Arsenal,2,Newcastle,1,2012-03-12,Arsenal,28,52
28,Everton,0,Arsenal,1,2012-03-21,Arsenal,29,55
29,Arsenal,3,Aston Villa,0,2012-03-24,Arsenal,30,58
30,QPR,2,Arsenal,1,2012-03-31,Arsenal,31,58
31,Arsenal,1,Man City,0,2012-04-08,Arsenal,32,61
32,Wolves,0,Arsenal,3,2012-04-11,Arsenal,33,64
33,Arsenal,1,Wigan,2,2012-04-16,Arsenal,34,64
34,Arsenal,0,Chelsea,0,2012-04-21,Arsenal,35,65
35,Stoke,1,Arsenal,1,2012-04-28,Arsenal,36,66
36,Arsenal,3,Norwich,3,2012-05-05,Arsenal,37,67
37,West Brom,2,Arsenal,3,2012-05-13,Arsenal,38,70
38,Fulham,0,Aston Villa,0,2011-08-13,Aston Villa,1,1
39,Aston Villa,3,Blackburn,1,2011-08-20,Aston Villa,2,4
40,Aston Villa,0,Wolves,0,2011-08-27,Aston Villa,3,5
41,Everton,2,Aston Villa,2,2011-09-10,Aston Villa,4,6
42,Aston Villa,1,Newcastle,1,2011-09-17,Aston Villa,5,7
43,QPR,1,Aston Villa,1,2011-09-25,Aston Villa,6,8
44,Aston Villa,2,Wigan,0,2011-10-01,Aston Villa,7,11
45,Man City,4,Aston Villa,1,2011-10-15,Aston Villa,8,11
46,Aston Villa,1,West Brom,2,2011-10-22,Aston Villa,9,11
47,Sunderland,2,Aston Villa,2,2011-10-29,Aston Villa,10,12
48,Aston Villa,3,Norwich,2,2011-11-05,Aston Villa,11,15
49,Spurs,2,Aston Villa,0,2011-11-21,Aston Villa,12,15
50,Swansea,0,Aston Villa,0,2011-11-27,Aston Villa,13,16
51,Aston Villa,0,Man Utd,1,2011-12-03,Aston Villa,14,16
52,Bolton,1,Aston Villa,2,2011-12-10,Aston Villa,15,19
53,Aston Villa,0,Liverpool,2,2011-12-18,Aston Villa,16,19
54,Aston Villa,1,Arsenal,2,2011-12-21,Aston Villa,17,19
