,home_team,home_goals,away_team,away_goals,date2,team,week,points
0,Arsenal,2,Crystal Palace,1,2014-08-16,Arsenal,1,3
1,Everton,2,Arsenal,2,2014-08-23,Arsenal,2,4
2,Leicester,1,Arsenal,1,2014-08-31,Arsenal,3,5
3,Arsenal,2,Man City,2,2014-09-13,Arsenal,4,6
4,Aston Villa,0,Arsenal,3,2014-09-20,Arsenal,5,9
5,Arsenal,1,Spurs,1,2014-09-27,Arsenal,6,10
6,Chelsea,2,Arsenal,0,2014-10-05,Arsenal,7,10
7,Arsenal,2,Hull,2,2014-10-18,Arsenal,8,11
8,Sunderland,0,Arsenal,2,2014-10-25,Arsenal,9,14
9,Arsenal,3,Burnley,0,2014-11-01,Arsenal,10,17
10,Swansea,2,Arsenal,1,2014-11-09,Arsenal,11,17
11,Arsenal,1,Man Utd,2,2014-11-22,Arsenal,12,17
12,West Brom,0,Arsenal,1,2014-11-29,Arsenal,13,20
13,Arsenal,1,Southampton,0,2014-12-03,Arsenal,14,23
14,Stoke,3,Arsenal,2,2014-12-06,Arsenal,15,23
15,Arsenal,4,Newcastle,1,2014-12-13,Arsenal,16,26
16,Liverpool,2,Arsenal,2,2014-12-21,Arsenal,17,27
17,Arsenal,2,QPR,1,2014-12-26,Arsenal,18,30
18,West Ham,1,Arsenal,2,2014-12-28,Arsenal,19,33
19,Southampton,2,Arsenal,0,2015-01-01,Arsenal,20,33
20,Arsenal,3,Stoke,0,2015-01-11,Arsenal,21,36
21,Man City,0,Arsenal,2,2015-01-18,Arsenal,22,39
22,Arsenal,5,Aston Villa,0,2015-02-01,Arsenal,23,42
23,Spurs,2,Arsenal,1,2015-02-07,Arsenal,24,42
24,Arsenal,2,Leicester,1,2015-02-10,Arsenal,25,45
25,Crystal Palace,1,Arsenal,2,2015-02-21,Arsenal,26,48
26,Arsenal,2,Everton,0,2015-03-01,Arsenal,27,51
27,QPR,1,Arsenal,2,2015-03-04,Arsenal,28,54
28,Arsenal,3,West Ham,0,2015-03-14,Arsenal,29,57
29,Newcastle,1,Arsenal,2,2015-03-21,Arsenal,30,60
30,Arsenal,4,Liverpool,1,2015-04-04,Arsenal,31,63
31,Burnley,0,Arsenal,1,2015-04-11,Arsenal,32,66
32,Arsenal,0,Chelsea,0,2015-04-26,Arsenal,33,67
33,Hull,1,Arsenal,3,2015-05-04,Arsenal,34,70
34,Arsenal,0,Swansea,1,2015-05-11,Arsenal,35,70
35,Man Utd,1,Arsenal,1,2015-05-17,Arsenal,36,71
36,Arsenal,0,Sunderland,0,2015-05-20,Arsenal,37,72
37,Arsenal,4,West Brom,1,2015-05-24,Arsenal,38,75
38,Stoke,0,Aston Villa,1,2014-08-16,Aston Villa,1,3
39,Aston Villa,0,Newcastle,0,2014-08-23,Aston Villa,2,4
40,Aston Villa,2,Hull,1,2014-08-31,Aston Villa,3,7
41,Liverpool,0,Aston Villa,1,2014-09-13,Aston Villa,4,10
42,Aston Villa,0,Arsenal,3,2014-09-20,Aston Villa,5,10
43,Chelsea,3,Aston Villa,0,2014-09-27,Aston Villa,6,10
44,Aston Villa,0,Man City,2,2014-10-04,Aston Villa,7,10
45,Everton,3,Aston Villa,0,2014-10-18,Aston Villa,8,10
46,QPR,2,Aston Villa,0,2014-10-27,Aston Villa,9,10
47,Aston Villa,1,Spurs,2,2014-11-02,Aston Villa,10,10
48,West Ham,0,Aston Villa,0,2014-11-08,Aston Villa,11,11
49,Aston Villa,1,Southampton,1,2014-11-24,Aston Villa,12,12
50,Burnley,1,Aston Villa,1,2014-11-29,Aston Villa,13,13
51,Crystal Palace,0,Aston Villa,1,2014-12-02,Aston Villa,14,16
52,Aston Villa,2,Leicester,1,2014-12-07,Aston Villa,15,19
53,West Brom,1,Aston Villa,0,2014-12-13,Aston Villa,16,19
54,Aston Villa,1,Man Utd,1,2014-12-20,Aston Villa,17,20
55,Swansea,1,Aston Villa,0,2014-12-26,Aston Villa,18,20
56,Aston Villa,0,Sunderland,0,2014-12-28,Aston Villa,19,21
57,Aston Villa,0,Crystal Palace,0,2015-01-01,Aston Villa,20,22
58,Leicester,1,Aston Villa,0,2015-01-10,Aston Villa,21,22
59,Aston Villa,0,Liverpool,2,2015-01-17,Aston Villa,22,22
60,Arsenal,5,Aston Villa,0,2015-02-01,Aston Villa,23,22
61,Aston Villa,1,Chelsea,2,2015-02-07,Aston Villa,24,22
62,Hull,2,Aston Villa,0,2015-02-10,Aston Villa,25,22
63,Aston Villa,1,Stoke,2,2015-02-21,Aston Villa,26,22
64,Newcastle,1,Aston Villa,0,2015-02-28,Aston Villa,27,22
65,Aston Villa,2,West Brom,1,2015-03-03,Aston Villa,28,25
66,Sunderland,0,Aston Villa,4,2015-03-14,Aston Villa,29,28
67,Aston Villa,0,Swansea,1,2015-03-21,Aston Villa,30,28
68,Man Utd,3,Aston Villa,1,2015-04-04,Aston Villa,31,28
69,Aston Villa,3,QPR,3,2015-04-07,Aston Villa,32,29
70,Spurs,0,Aston Villa,1,2015-04-11,Aston Villa,33,32
71,Man City,3,Aston Villa,2,2015-04-25,Aston Villa,34,32
72,Aston Villa,3,Everton,2,2015-05-02,Aston Villa,35,35
73,Aston Villa,1,West Ham,0,2015-05-09,Aston Villa,36,38
74,Southampton,6,Aston Villa,1,2015-05-16,Aston Villa,37,38
75,Aston Villa,0,Burnley,1,2015-05-24,Aston Villa,38,38
76,Burnley,1,Chelsea,3,2014-08-18,Burnley,1,0
77,Swansea,1,Burnley,0,2014-08-23,Burnley,2,0
78,Burnley,0,Man Utd,0,2014-08-30,Burnley,3,1
79,Crystal Palace,0,Burnley,0,2014-09-13,Burnley,4,2
80,Burnley,0,Sunderland,0,2014-09-20,Burnley,5,3
81,West Brom,4,Burnley,0,2014-09-28,Burnley,6,3
82,Leicester,2,Burnley,2,2014-10-04,Burnley,7,4
83,Burnley,1,West Ham,3,2014-10-18,Burnley,8,4
84,Burnley,1,Everton,3,2014-10-26,Burnley,9,4
85,Arsenal,3,Burnley,0,2014-11-01,Burnley,10,4
86,Burnley,1,Hull,0,2014-11-08,Burnley,11,7
87,Stoke,1,Burnley,2,2014-11-22,Burnley,12,10
88,Burnley,1,Aston Villa,1,2014-11-29,Burnley,13,11
89,Burnley,1,Newcastle,1,2014-12-02,Burnley,14,12
90,QPR,2,Burnley,0,2014-12-06,Burnley,15,12
91,Burnley,1,Southampton,0,2014-12-13,Burnley,16,15
92,Spurs,2,Burnley,1,2014-12-20,Burnley,17,15
93,Burnley,0,Liverpool,1,2014-12-26,Burnley,18,15
94,Man City,2,Burnley,2,2014-12-28,Burnley,19,16
95,Newcastle,3,Burnley,3,2015-01-01,Burnley,20,17
96,Burnley,2,QPR,1,2015-01-10,Burnley,21,20
97,Burnley,2,Crystal Palace,3,2015-01-17,Burnley,22,20
98,Sunderland,2,Burnley,0,2015-01-31,Burnley,23,20
99,Burnley,2,West Brom,2,2015-02-08,Burnley,24,21
100,Man Utd,3,Burnley,1,2015-02-11,Burnley,25,21
101,Chelsea,1,Burnley,1,2015-02-21,Burnley,26,22
102,Burnley,0,Swansea,1,2015-02-28,Burnley,27,22
103,Liverpool,2,Burnley,0,2015-03-04,Burnley,28,22
104,Burnley,1,Man City,0,2015-03-14,Burnley,29,25
105,Southampton,2,Burnley,0,2015-03-21,Burnley,30,25
106,Burnley,0,Spurs,0,2015-04-05,Burnley,31,26
107,Burnley,0,Arsenal,1,2015-04-11,Burnley,32,26
108,Everton,1,Burnley,0,2015-04-18,Burnley,33,26
109,Burnley,0,Leicester,1,2015-04-25,Burnley,34,26
110,West Ham,1,Burnley,0,2015-05-02,Burnley,35,26
111,Hull,0,Burnley,1,2015-05-09,Burnley,36,29
112,Burnley,0,Stoke,0,2015-05-16,Burnley,37,30
113,Aston Villa,0,Burnley,1,2015-05-24,Burnley,38,33
114,Burnley,1,Chelsea,3,2014-08-18,Chelsea,1,3
115,Chelsea,2,Leicester,0,2014-08-23,Chelsea,2,6
116,Everton,3,Chelsea,6,2014-08-30,Chelsea,3,9
117,Chelsea,4,Swansea,2,2014-09-13,Chelsea,4,12
118,Man City,1,Chelsea,1,2014-09-21,Chelsea,5,13
119,Chelsea,3,Aston Villa,0,2014-09-27,Chelsea,6,16
120,Chelsea,2,Arsenal,0,2014-10-05,Chelsea,7,19
121,Crystal Palace,1,Chelsea,2,2014-10-18,Chelsea,8,22
122,Man Utd,1,Chelsea,1,2014-10-26,Chelsea,9,23
123,Chelsea,2,QPR,1,2014-11-01,Chelsea,10,26
124,Liverpool,1,Chelsea,2,2014-11-08,Chelsea,11,29
125,Chelsea,2,West Brom,0,2014-11-22,Chelsea,12,32
126,Sunderland,0,Chelsea,0,2014-11-29,Chelsea,13,33
127,Chelsea,3,Spurs,0,2014-12-03,Chelsea,14,36
128,Newcastle,2,Chelsea,1,2014-12-06,Chelsea,15,36
129,Chelsea,2,Hull,0,2014-12-13,Chelsea,16,39
130,Stoke,0,Chelsea,2,2014-12-22,Chelsea,17,42
131,Chelsea,2,West Ham,0,2014-12-26,Chelsea,18,45
132,Southampton,1,Chelsea,1,2014-12-28,Chelsea,19,46
133,Spurs,5,Chelsea,3,2015-01-01,Chelsea,20,46
134,Chelsea,2,Newcastle,0,2015-01-10,Chelsea,21,49
135,Swansea,0,Chelsea,5,2015-01-17,Chelsea,22,52
136,Chelsea,1,Man City,1,2015-01-31,Chelsea,23,53
137,Aston Villa,1,Chelsea,2,2015-02-07,Chelsea,24,56
138,Chelsea,1,Everton,0,2015-02-11,Chelsea,25,59
139,Chelsea,1,Burnley,1,2015-02-21,Chelsea,26,60
140,West Ham,0,Chelsea,1,2015-03-04,Chelsea,27,63
141,Chelsea,1,Southampton,1,2015-03-15,Chelsea,28,64
142,Hull,2,Chelsea,3,2015-03-22,Chelsea,29,67
143,Chelsea,2,Stoke,1,2015-04-04,Chelsea,30,70
144,QPR,0,Chelsea,1,2015-04-12,Chelsea,31,73
145,Chelsea,1,Man Utd,0,2015-04-18,Chelsea,32,76
146,Arsenal,0,Chelsea,0,2015-04-26,Chelsea,33,77
147,Leicester,1,Chelsea,3,2015-04-29,Chelsea,34,80
148,Chelsea,1,Crystal Palace,0,2015-05-03,Chelsea,35,83
149,Chelsea,1,Liverpool,1,2015-05-10,Chelsea,36,84
